iso3,country,year,F1_institutional,F2_macro,F3_openness,F4_energy,F5_security,F6_human_capital,F7_financial,fdi_pct_gdp,fdi_usd,cici_score,cici_rank
IRQ,Iraq,2010,22.27761687348064,56.06067088006415,36.20927674497747,83.80988218777655,37.57306258169144,15.85992418729336,,1.00796493975113,1396200000.0,39.84,13
IRQ,Iraq,2011,24.45977525012113,56.727975434915464,35.41355459262073,89.64275844796066,39.997543702026654,15.59383795311888,,1.12086339764167,2082000000.0,41.51,12
IRQ,Iraq,2012,24.040335116723995,61.308416533718194,36.2760023534672,89.49103545994498,39.438654477473534,34.003637647007146,,1.55961531280073,3400000000.0,42.02,12
IRQ,Iraq,2013,23.34706760365485,57.98661024840009,32.55665627619185,85.85058946542804,38.312435771980226,17.095584918596753,,-0.995279210263068,-2335300000.0,39.49,13
IRQ,Iraq,2014,22.163186548223635,54.08592616997811,33.500174475073585,87.01589514415176,36.98907715417349,41.38973404478087,,-4.45521124532956,-10176400000.0,39.97,11
IRQ,Iraq,2015,21.36093900798164,59.88561770457277,33.865757906803786,79.65720311645335,37.06782720491307,19.071184081919565,,-4.54159235443502,-7574200000.0,38.24,11
IRQ,Iraq,2016,21.07789479843652,65.1958217340158,24.86333458667156,76.43362391491236,37.20675939370674,42.82563330532978,,-3.75180911604806,-6255900000.0,35.49,12
IRQ,Iraq,2017,20.70932871538601,55.792998083308255,27.97901252081607,81.37459054420287,37.749396208452055,44.26059137891476,,-2.68799428357231,-5032400000.0,37.22,12
IRQ,Iraq,2018,21.421507451174808,60.415832584626735,31.59168231768337,86.94769613035467,37.7123074261839,15.797958899882866,,-2.14854834807913,-4885100000.0,38.91,12
IRQ,Iraq,2019,21.823449242265298,56.60587064190449,33.504645589052515,82.57641207131067,37.26372026821874,14.482107796636484,,-1.31640616709339,-3075600000.0,38.63,11
IRQ,Iraq,2020,20.07684908449396,43.904362344393064,26.755806785429016,71.9930088697703,37.627985404241,14.090268479187776,,-1.58049696252586,-2859100000.0,34.2,12
IRQ,Iraq,2021,20.867124633456047,52.18691962305934,29.012466742211764,84.8514299087606,37.70927769527474,40.507143535556914,,-1.25770209772783,-2637300000.0,38.04,13
IRQ,Iraq,2022,20.315642488343514,57.48217526657859,33.36595353535917,100.0,37.20453146337433,16.22442587794333,,-0.726653366772653,-2088200000.0,41.42,15
IRQ,Iraq,2023,18.77642722029015,52.31813839707046,33.787486146981074,100.0,37.246327761059575,16.4978021459308,,-1.99474822313262,-5363500000.0,41.16,15
IRQ,Iraq,2024,24.13396914286429,52.8751157758846,34.535969207726694,100.0,38.662898048067554,16.36658153729681,,-2.73525447039729,-7648900000.0,42.73,13
